% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.281	1	1	1	0.882795	0
0.321	1	1	1	0.86325	0
0.361	1	1	1	0.844245	0
0.401	1	1	1	0.825762	0
0.441	1	1	1	0.807786	0
0.481	1	1	1	0.790298	0
0.521	1	1	1	0.773283	0
0.561	1	1	1	0.756726	0
0.601	1	1	1	0.740612	0
0.641	1	1	1	0.724927	0
0.681	1	1	1	0.709657	0
0.721	1	1	1	0.694788	0
0.761	1	1	1	0.680309	0
0.801	1	1	1	0.666208	0
0.841	1	1	1	0.652471	0
0.881	1	1	1	0.639089	0
0.921	1	1	1	0.626049	0
0.961	1	1	1	0.613342	0
1.001	1	1	1	0.600958	0
1.041	1	1	1	0.588886	0
1.081	1	1	1	0.577117	0
1.121	1	1	1	0.565642	0
1.161	1	1	1	0.554452	0
1.201	1	1	1	0.543539	0
1.241	1	1	1	0.532895	0
1.281	1	1	1	0.522511	0
1.321	1	1	1	0.51238	0
1.361	1	1	1	0.502494	0
1.401	1	1	1	0.492848	0
1.441	1	1	1	0.483432	0
1.481	1	1	1	0.474242	0
1.521	1	1	1	0.46527	0
1.561	1	1	1	0.45651	0
1.601	1	1	1	0.447956	0
1.641	1	1	1	0.439603	0
1.681	1	1	1	0.431445	0
1.721	1	1	1	0.423476	0
1.761	1	1	1	0.415691	0
1.801	1	1	1	0.408085	0
1.841	1	1	1	0.400653	0
1.881	1	1	1	0.39339	0
1.921	1	1	1	0.386292	0
1.961	1	1	1	0.379354	0
2.001	1	1	1	0.372572	0
2.041	1	1	1	0.365941	0
2.081	1	1	1	0.359458	0
2.121	1	1	1	0.353119	0
2.161	1	1	1	0.34692	0
2.201	1	1	1	0.340857	0
2.241	1	1	1	0.334926	0
2.281	1	1	1	0.329124	0
2.321	1	1	1	0.323448	0
2.361	1	1	1	0.317895	0
2.401	1	1	1	0.312461	0
2.441	1	1	1	0.307143	0
2.481	1	1	1	0.301938	0
2.521	1	1	1	0.296843	0
2.561	1	1	1	0.291856	0
2.601	1	1	1	0.286974	0
2.641	1	1	1	0.282194	0
2.681	1	1	1	0.277514	0
2.721	1	1	1	0.272931	0
2.761	1	1	1	0.268442	0
2.801	1	1	1	0.264046	0
2.841	1	1	1	0.25974	0
2.881	1	1	1	0.255522	0
2.921	1	1	1	0.251389	0
2.961	1	1	1	0.24734	0
3.001	1	1	1	0.243373	0
3.041	1	1	1	0.239485	0
3.081	1	1	1	0.235675	0
3.121	1	1	1	0.231941	0
3.161	1	1	1	0.228281	0
3.201	1	1	1	0.224693	0
3.241	1	1	1	0.221176	0
3.281	1	1	1	0.217728	0
3.321	1	1	1	0.214347	0
3.361	1	1	1	0.211031	0
3.401	1	1	1	0.20778	0
3.441	1	1	1	0.204592	0
3.481	1	1	1	0.201464	0
3.521	1	1	1	0.198397	0
3.561	1	1	1	0.195388	0
3.601	1	1	1	0.192436	0
3.641	1	1	1	0.18954	0
3.681	1	1	1	0.186698	0
3.721	1	1	1	0.18391	0
3.761	1	1	1	0.181174	0
3.801	1	1	1	0.178489	0
3.841	1	1	1	0.175854	0
3.881	1	1	1	0.173267	0
3.921	1	1	1	0.170728	0
3.961	1	1	1	0.168236	0
4.001	1	1	1	0.165789	0
4.041	1	1	1	0.163386	0
4.081	1	1	1	0.161028	0
4.121	1	1	1	0.158712	0
4.161	1	1	1	0.156437	0
4.201	1	1	1	0.154203	0
4.241	1	1	1	0.15201	0
4.281	1	1	1	0.149855	0
4.321	1	1	1	0.147739	0
4.361	1	1	1	0.14566	0
4.401	1	1	1	0.143617	0
4.441	1	1	1	0.141611	0
4.481	1	1	1	0.139639	0
4.521	1	1	1	0.137702	0
4.561	1	1	1	0.135799	0
4.601	1	1	1	0.133928	0
4.641	1	1	1	0.13209	0
4.681	1	1	1	0.130284	0
4.721	1	1	1	0.128508	0
4.761	1	1	1	0.126762	0
4.801	1	1	1	0.125047	0
4.841	1	1	1	0.12336	0
4.881	1	1	1	0.121702	0
4.921	1	1	1	0.120072	0
4.961	1	1	1	0.118469	0
5.001	1	1	1	0.116893	0
5.041	1	1	1	0.115343	0
5.081	1	1	1	0.113819	0
5.121	1	1	1	0.11232	0
5.161	1	1	1	0.110846	0
5.201	1	1	1	0.109396	0
5.241	1	1	1	0.107969	0
5.281	1	1	1	0.106566	0
5.321	1	1	1	0.105186	0
5.361	1	1	1	0.103829	0
5.401	1	1	1	0.102493	0
5.441	1	1	1	0.101179	0
5.481	1	1	1	0.0998855	0
5.521	1	1	1	0.098613	0
5.561	1	1	1	0.0973609	0
5.601	1	1	1	0.0961286	0
5.641	1	1	1	0.0949159	0
5.681	1	1	1	0.0937224	0
5.721	1	1	1	0.0925476	0
